date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:14	27908/27908	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:13%20GMT	https://help.futureproofs.net/category/6-proofs	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/category/6-proofs.html	(from https://help.futureproofs.net/)
15:16:15	28262/28262	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:14%20GMT	https://help.futureproofs.net/category/205-navigating-your-proofs	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/category/205-navigating-your-proofs.html	(from https://help.futureproofs.net/)
15:16:16	29489/29489	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:15%20GMT	https://help.futureproofs.net/category/108-marking-up-proofs	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/category/108-marking-up-proofs.html	(from https://help.futureproofs.net/)
15:16:17	28158/28158	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:16%20GMT	https://help.futureproofs.net/category/114-dealing-with-queries	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/category/114-dealing-with-queries.html	(from https://help.futureproofs.net/)
15:16:18	27856/27856	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:17%20GMT	https://help.futureproofs.net/category/107-master-proofs	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/category/107-master-proofs.html	(from https://help.futureproofs.net/)
15:16:19	28742/28742	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:18%20GMT	https://help.futureproofs.net/category/157-reviewing-markup	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/category/157-reviewing-markup.html	(from https://help.futureproofs.net/)
15:16:20	27345/27345	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:19%20GMT	https://help.futureproofs.net/category/165-comparing-proofs	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/category/165-comparing-proofs.html	(from https://help.futureproofs.net/)
15:16:24	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2014%20Mar%202022%2015:16:22%20GMT	http://fonts.googleapis.com/robots.txt		(from https://help.futureproofs.net/)
15:16:27	26271/26271	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:20%20GMT	https://help.futureproofs.net/category/138-emails	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/category/138-emails.html	(from https://help.futureproofs.net/)
15:16:27	119059/119059	---M--	200	added ('OK')	text/css	etag:%22116b620b68443d2119d602ac53b25c34ad343814%22	http://d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1646235652674.css	/home/john/Downloads/help/Futureproofs%20help%20site/d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1646235652674.css	(from https://help.futureproofs.net/contact)
15:16:30	119059/119059	---M--	200	added ('OK')	text/css	etag:%22116b620b68443d2119d602ac53b25c34ad343814%22	http://d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1646591184861.css	/home/john/Downloads/help/Futureproofs%20help%20site/d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1646591184861.css	(from https://help.futureproofs.net/category/5-first-time-here)
15:16:36	155206/155206	---M--	200	added ('OK')	application/javascript	etag:%224a9cf616a2b3fbf816d91f6541c4f48c7f1694ec%22	http://d3eto7onm69fcz.cloudfront.net/assets/javascripts/app3.min.js	/home/john/Downloads/help/Futureproofs%20help%20site/d3eto7onm69fcz.cloudfront.net/assets/javascripts/app3.min.js	(from https://help.futureproofs.net/)
15:16:36	28426/28426	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:32%20GMT	https://help.futureproofs.net/article/247-0-what-is-futureproofs	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/article/247-0-what-is-futureproofs.html	(from https://help.futureproofs.net/category/5-first-time-here)
15:16:36	27898/27898	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:36%20GMT	https://help.futureproofs.net/article/245-1-introducing-markup	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/article/245-1-introducing-markup.html	(from https://help.futureproofs.net/category/5-first-time-here)
15:16:39	32201/32201	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202022%2015:16:37%20GMT	https://help.futureproofs.net/article/19-who-should-use-futureproofs	/home/john/Downloads/help/Futureproofs%20help%20site/help.futureproofs.net/article/19-who-should-use-futureproofs.html	(from https://help.futureproofs.net/category/5-first-time-here)
